,Peak,Valley,Recovery,Duration,Recovery Ratio,Max Drawdown,99% Max Drawdown
0,2014-11-17,2014-11-17,2014-11-18,1,1.0,-0.00166398286819458,0.0
1,2014-11-19,2014-11-19,2014-11-20,1,1.0,-0.006928205490112305,0.0
2,2014-11-25,2014-11-25,2014-11-26,1,1.0,-0.00868237018585205,0.0
3,2014-11-28,2015-01-16,2015-02-04,68,0.3877551020408163,-0.10932761430740356,-0.10714280605316162
4,2015-02-06,2015-02-06,2015-02-10,4,1.0,-0.008420944213867188,-0.001834273338317871
5,2015-02-19,2015-02-19,2015-02-20,1,1.0,-0.002097606658935547,0.0
6,2015-02-24,2016-05-12,2017-02-13,720,0.6252821670428894,-0.3207518458366394,-0.30233079195022583
7,2017-02-16,2017-02-16,2017-02-17,1,1.0,-0.0011806488037109375,0.0
8,2017-02-23,2017-02-23,2017-03-01,6,1.0,-0.0042302608489990234,-0.003282010555267334
9,2017-03-02,2017-03-09,2017-03-15,13,0.8571428571428571,-0.007940471172332764,-0.005937397480010986
10,2017-03-17,2017-03-17,2017-03-20,3,1.0,-0.004975378513336182,0.0
11,2017-03-21,2017-03-21,2017-03-28,7,1.0,-0.011452078819274902,-0.005796670913696289
12,2017-03-30,2017-03-31,2017-04-04,5,4.0,-0.003191709518432617,-0.002914249897003174
13,2017-04-05,2017-04-19,2017-05-01,26,0.8571428571428571,-0.0282515287399292,-0.025695860385894775
14,2017-05-03,2017-05-04,2017-05-05,2,1.0,-0.006643533706665039,-0.0030506253242492676
15,2017-05-10,2017-05-10,2017-05-12,2,1.0,-0.004740595817565918,-0.00025975704193115234
16,2017-05-15,2017-06-16,2017-08-02,79,1.46875,-0.08859717845916748,-0.08565032482147217
17,2017-08-03,2017-08-03,2017-08-07,4,1.0,-0.009991049766540527,-0.004772841930389404
18,2017-08-10,2017-08-10,2017-08-15,5,1.0,-0.03563880920410156,-0.022227704524993896
19,2017-08-16,2017-08-21,2017-08-29,13,1.6,-0.02716583013534546,-0.02537137269973755
20,2017-09-05,2017-09-25,2017-10-30,55,1.75,-0.08229184150695801,-0.07412362098693848
21,2017-11-01,2017-11-01,2017-11-03,2,1.0,-0.01271885633468628,-0.00550156831741333
22,2017-11-09,2017-12-06,2017-12-18,39,0.4444444444444444,-0.04102367162704468,-0.04062628746032715
23,2017-12-19,2017-12-29,2018-01-12,24,1.4,-0.04075509309768677,-0.03315943479537964
24,2018-01-16,2018-01-16,2018-01-17,1,1.0,-0.005082130432128906,0.0
25,2018-01-19,2018-02-08,2018-03-09,49,1.45,-0.13449746370315552,-0.12746846675872803
26,2018-03-13,2018-04-27,2018-05-04,52,0.15555555555555556,-0.10675764083862305,-0.10334581136703491
27,2018-05-11,2018-05-18,2018-06-01,21,2.0,-0.019627511501312256,-0.018943369388580322
28,2018-06-07,2018-06-25,2018-07-25,48,1.6666666666666667,-0.060882627964019775,-0.051860928535461426
29,2018-07-26,2018-07-30,2018-08-01,6,0.5,-0.02520275115966797,-0.02325230836868286
30,2018-08-07,2018-08-07,2018-08-14,7,1.0,-0.009374856948852539,-0.0087052583694458
31,2018-08-20,2018-08-21,2018-08-27,7,6.0,-0.01167386770248413,-0.011627912521362305
32,2018-09-05,2018-09-21,2018-10-02,27,0.6875,-0.04685598611831665,-0.045892417430877686
33,2018-10-04,2019-01-03,2019-10-11,372,3.087912087912088,-0.38729673624038696,-0.3611408472061157
34,2019-10-14,2019-10-16,2019-10-18,4,1.0,-0.007789731025695801,-0.003937244415283203
35,2019-10-22,2019-10-22,2019-10-23,1,1.0,-0.0022867918014526367,0.0
36,2019-10-29,2019-10-30,2019-11-01,3,2.0,-0.023248374462127686,-0.023127973079681396
37,2019-11-05,2019-11-05,2019-11-07,2,1.0,-0.0014368295669555664,-0.0010097026824951172
38,2019-11-12,2019-11-12,2019-11-13,1,1.0,-0.0009154081344604492,0.0
39,2019-11-14,2019-11-14,2019-11-15,1,1.0,-0.006919384002685547,0.0
40,2019-11-19,2019-11-22,2019-11-27,8,1.6666666666666667,-0.019917607307434082,-0.01905643939971924
41,2019-11-29,2019-12-03,2019-12-06,7,0.75,-0.03132450580596924,-0.02277475595474243
42,2019-12-09,2019-12-09,2019-12-11,2,1.0,-0.014000177383422852,-0.00823754072189331
43,2019-12-18,2019-12-20,2019-12-23,5,1.5,-0.0034592747688293457,-0.002389371395111084
44,2019-12-27,2019-12-27,2019-12-30,3,1.0,-0.0003795027732849121,0.0
45,2020-01-03,2020-01-03,2020-01-08,5,1.0,-0.009721994400024414,-0.006525754928588867
46,2020-01-14,2020-01-15,2020-01-17,3,2.0,-0.017730891704559326,-0.01350325345993042
47,2020-01-21,2020-01-21,2020-01-23,2,1.0,-0.006776928901672363,-0.003231644630432129
48,2020-01-24,2020-01-27,2020-01-29,5,0.6666666666666666,-0.03220254182815552,-0.004824221134185791
49,2020-01-30,2020-02-03,2020-02-06,7,0.75,-0.048344314098358154,-0.045723557472229004
