,Peak,Valley,Recovery,Duration,Recovery Ratio,Max Drawdown,99% Max Drawdown
0,2014-11-14,2015-04-02,2015-10-23,343,1.4676258992805755,-0.18786513805389404,-0.18040698766708374
1,2015-10-27,2015-10-30,2015-11-04,8,1.6666666666666667,-0.02967756986618042,-0.018617630004882812
2,2015-11-05,2015-11-05,2015-11-06,1,1.0,-0.0003676414489746094,0.0
3,2015-11-09,2015-11-13,2015-12-01,22,4.5,-0.03787332773208618,-0.03550618886947632
4,2015-12-02,2015-12-03,2015-12-04,2,1.0,-0.018471598625183105,-0.00018107891082763672
5,2015-12-07,2015-12-11,2015-12-16,9,1.25,-0.0330888032913208,-0.016633927822113037
6,2015-12-17,2015-12-18,2015-12-29,12,11.0,-0.035631537437438965,-0.023160457611083984
7,2015-12-30,2016-06-27,2016-07-22,205,0.1388888888888889,-0.14358967542648315,-0.1262599229812622
8,2016-07-27,2016-07-27,2016-08-03,7,1.0,-0.010042309761047363,-0.009689927101135254
9,2016-08-10,2016-08-10,2016-08-11,1,1.0,-0.0030927658081054688,0.0
10,2016-08-12,2016-09-09,2016-10-21,70,1.5,-0.03584909439086914,-0.034991443157196045
11,2016-10-25,2016-11-14,2016-11-22,28,0.4,-0.04721325635910034,-0.037705063819885254
12,2016-11-23,2016-12-01,2016-12-07,14,0.75,-0.03141361474990845,-0.030595481395721436
13,2016-12-08,2016-12-08,2016-12-09,1,1.0,-0.005866050720214844,0.0
14,2016-12-14,2016-12-16,2016-12-19,5,1.5,-0.010797083377838135,-0.006351172924041748
15,2016-12-20,2016-12-30,2017-01-25,36,2.6,-0.02326303720474243,-0.0207483172416687
16,2017-01-30,2017-02-02,2017-03-31,60,19.0,-0.03967767953872681,-0.037093400955200195
17,2017-04-03,2017-04-13,2017-04-21,18,0.8,-0.013817250728607178,-0.012450695037841797
18,2017-04-26,2017-04-26,2017-04-27,1,1.0,-0.0013250112533569336,0.0
19,2017-05-02,2017-05-12,2017-05-16,14,0.4,-0.0148392915725708,-0.014118850231170654
20,2017-05-17,2017-05-17,2017-05-25,8,1.0,-0.027805745601654053,-0.0247802734375
21,2017-05-31,2017-05-31,2017-06-02,2,1.0,-0.008095502853393555,-0.004402816295623779
22,2017-06-07,2017-07-03,2017-07-14,37,0.4230769230769231,-0.05998343229293823,-0.055570781230926514
23,2017-07-18,2017-07-18,2017-07-19,1,1.0,-0.0006816387176513672,0.0
24,2017-07-21,2017-08-10,2017-08-31,41,1.05,-0.03786027431488037,-0.02788996696472168
25,2017-09-01,2017-09-06,2017-09-13,12,1.4,-0.018322765827178955,-0.015514194965362549
26,2017-09-14,2017-09-14,2017-09-15,1,1.0,-0.005850374698638916,0.0
27,2017-09-18,2017-09-18,2017-09-19,1,1.0,-0.0019916892051696777,0.0
28,2017-09-20,2017-09-25,2017-10-05,15,2.0,-0.02889716625213623,-0.021076440811157227
29,2017-10-17,2017-10-17,2017-10-19,2,1.0,-0.0007727146148681641,-0.0005151033401489258
30,2017-10-25,2017-10-25,2017-10-27,2,1.0,-0.002916574478149414,-0.0012679696083068848
31,2017-10-31,2017-10-31,2017-11-02,2,1.0,-0.008463382720947266,0.0
32,2017-11-07,2017-11-07,2017-11-08,1,1.0,-0.002367734909057617,0.0
33,2017-11-09,2017-11-17,2017-11-28,19,1.375,-0.025543928146362305,-0.02400660514831543
34,2017-11-29,2017-12-04,2017-12-11,12,1.4,-0.0447690486907959,-0.03876066207885742
35,2017-12-13,2017-12-14,2017-12-15,2,1.0,-0.01039952039718628,-0.0026875734329223633
36,2017-12-18,2017-12-26,2018-01-04,17,1.125,-0.016695380210876465,-0.015543937683105469
37,2018-01-09,2018-01-10,2018-01-12,3,2.0,-0.005210697650909424,-0.002265453338623047
38,2018-01-16,2018-01-16,2018-01-17,1,1.0,-0.013950884342193604,0.0
39,2018-01-18,2018-01-19,2018-01-22,4,3.0,-0.001553177833557129,-0.0004437565803527832
