Date,Return,CumulativeReturn,UnderwaterReturn
2014-11-13,,0.0,0.0
2014-11-14,-0.0006046891,-0.0006046891,-0.0006046891
2014-11-17,-0.0024203658,-0.0030235648,-0.0030235648
2014-11-18,-0.014557183,-0.01753676,-0.01753676
2014-11-19,-0.010668874,-0.028018534,-0.028018534
2014-11-20,0.009954333,-0.018343091,-0.018343091
2014-11-21,-0.014784396,-0.032856286,-0.032856286
2014-11-24,-0.008128345,-0.040717542,-0.040717542
2014-11-25,-0.002521515,-0.04313636,-0.04313636
2014-11-26,0.0058984756,-0.037492335,-0.037492335
2014-11-28,0.0012565851,-0.036282837,-0.036282837
2014-12-01,0.016942024,-0.019955516,-0.019955516
2014-12-02,-0.003290832,-0.023180664,-0.023180664
2014-12-03,-0.007841468,-0.030840337,-0.030840337
2014-12-04,0.015806913,-0.01552093,-0.01552093
2014-12-05,-0.00859952,-0.023986995,-0.023986995
2014-12-08,-0.014869809,-0.03850013,-0.03850013
2014-12-09,-0.0023061037,-0.040717423,-0.040717423
2014-12-10,-0.01449883,-0.05462587,-0.05462587
2014-12-11,0.005756855,-0.049183488,-0.049183488
2014-12-12,-0.0046639442,-0.053618014,-0.053618014
2014-12-15,-0.005963862,-0.059262097,-0.059262097
2014-12-16,-0.032354772,-0.08969945,-0.08969945
2014-12-17,0.012843251,-0.078008235,-0.078008235
2014-12-18,0.038915634,-0.042128325,-0.042128325
2014-12-19,0.0029461384,-0.039306283,-0.039306283
2014-12-22,0.006714225,-0.032855988,-0.032855988
2014-12-23,0.009795785,-0.023382068,-0.023382068
2014-12-24,-0.00639838,-0.02963084,-0.02963084
2014-12-26,-0.005400896,-0.034871697,-0.034871697
2014-12-29,-0.008980811,-0.043539345,-0.043539345
2014-12-30,-0.009062171,-0.052206933,-0.052206933
2014-12-31,-0.012122512,-0.06369656,-0.06369656
2015-01-02,0.006673813,-0.05744785,-0.05744785
2015-01-05,-0.009195805,-0.06611538,-0.06611538
2015-01-06,-0.014677346,-0.0798223,-0.0798223
2015-01-07,0.012705326,-0.06813115,-0.06813115
2015-01-08,0.02941811,-0.040717304,-0.040717304
2015-01-09,-0.008405149,-0.048780203,-0.048780203
2015-01-12,-0.01250267,-0.060673,-0.060673
2015-01-13,-0.0051501393,-0.06551069,-0.06551069
2015-01-14,-0.00862819,-0.07357365,-0.07357365
2015-01-15,-0.010443866,-0.08324909,-0.08324909
2015-01-16,0.016710639,-0.067929626,-0.067929626
2015-01-20,0.0032439232,-0.06490606,-0.06490606
2015-01-21,-0.010131538,-0.07437998,-0.07437998
2015-01-22,0.02635026,-0.04998964,-0.04998964
2015-01-23,0.0010608435,-0.048981845,-0.048981845
2015-01-26,-0.0036032796,-0.052408636,-0.052408636
2015-01-27,-0.09253347,-0.14009255,-0.14009255
2015-01-28,-0.034458518,-0.16972369,-0.16972369
2015-01-29,0.019907713,-0.15319479,-0.15319479
2015-01-30,-0.038324118,-0.18564785,-0.18564785
2015-02-02,0.02178216,-0.1679095,-0.1679095
2015-02-03,0.0077519417,-0.16145921,-0.16145921
2015-02-04,0.005769253,-0.15662146,-0.15662146
2015-02-05,0.014579415,-0.1443255,-0.1443255
2015-02-06,-0.00094228983,-0.14513177,-0.14513177
2015-02-09,-0.0011789203,-0.14613956,-0.14613956
2015-02-10,0.00566566,-0.14130187,-0.14130187
2015-02-11,-0.0051642656,-0.1457364,-0.1457364
2015-02-12,0.016753197,-0.13142473,-0.13142473
2015-02-13,0.018101573,-0.11570215,-0.11570215
2015-02-17,-0.0066103935,-0.1215477,-0.1215477
2015-02-18,-0.0011473894,-0.12255561,-0.12255561
2015-02-19,-0.0006891489,-0.1231603,-0.1231603
2015-02-20,0.0082758665,-0.115903676,-0.115903676
2015-02-23,0.0066119432,-0.11005807,-0.11005807
2015-02-24,-0.0013590455,-0.11126757,-0.11126757
2015-02-25,-0.002268076,-0.11328328,-0.11328328
2015-02-26,0.0015912056,-0.111872315,-0.111872315
2015-02-27,-0.0047662854,-0.11610538,-0.11610538
2015-03-02,0.0006842613,-0.11550057,-0.11550057
2015-03-03,-0.013673723,-0.12759495,-0.12759495
2015-03-04,-0.0050831437,-0.13202953,-0.13202953
2015-03-05,0.0011610985,-0.13102174,-0.13102174
2015-03-06,-0.017397344,-0.14613968,-0.14613968
2015-03-09,0.011567473,-0.13626266,-0.13626266
2015-03-10,-0.019136488,-0.15279156,-0.15279156
2015-03-11,-0.0011895895,-0.15379941,-0.15379941
2015-03-12,-0.022868037,-0.17315036,-0.17315036
2015-03-13,0.008776188,-0.1658938,-0.1658938
2015-03-16,0.004349947,-0.16226548,-0.16226548
2015-03-17,0.003368616,-0.1594435,-0.1594435
2015-03-18,0.01918459,-0.14331776,-0.14331776
2015-03-19,-0.0049411654,-0.14755076,-0.14755076
2015-03-20,0.013951302,-0.13565797,-0.13565797
2015-03-23,-0.00046640635,-0.13606107,-0.13606107
2015-03-24,0.0009332895,-0.13525474,-0.13525474
2015-03-25,-0.033566475,-0.16428119,-0.16428119
2015-03-26,-0.006029904,-0.16932046,-0.16932046
2015-03-27,-0.005823791,-0.17415816,-0.17415816
2015-03-30,-0.00024414062,-0.1743598,-0.1743598
2015-03-31,-0.0073242188,-0.18040699,-0.18040699
2015-04-01,0.0014756918,-0.17919755,-0.17919755
2015-04-02,-0.0105599165,-0.18786514,-0.18786514
2015-04-06,0.031273246,-0.16246706,-0.16246706
2015-04-07,-0.0004813671,-0.16287023,-0.16287023
2015-04-08,-0.0026487112,-0.16508752,-0.16508752
2015-04-09,0.0014486313,-0.16387802,-0.16387802
2015-04-10,0.005785942,-0.15904027,-0.15904027
2015-04-13,0.0009586811,-0.15823406,-0.15823406
2015-04-14,-0.0026340485,-0.1604513,-0.1604513
2015-04-15,0.014645815,-0.14815539,-0.14815539
2015-04-16,-0.0023662448,-0.15017104,-0.15017104
2015-04-17,-0.0128083825,-0.16105598,-0.16105598
2015-04-20,0.030994773,-0.1350531,-0.1350531
2015-04-21,-0.006292224,-0.14049554,-0.14049554
2015-04-22,0.008208275,-0.1334405,-0.1334405
2015-04-23,0.008141398,-0.12638551,-0.12638551
2015-04-24,0.10452235,-0.03507328,-0.03507328
2015-04-27,0.00334239,-0.031848133,-0.031848133
2015-04-28,0.023527026,-0.009070396,-0.009070396
2015-04-29,-0.0020341277,-0.011086047,-0.011086047
2015-04-30,-0.008561015,-0.019552171,-0.019552171
2015-05-01,0.00041115284,-0.019149065,-0.019149065
2015-05-04,-0.008631289,-0.02761507,-0.02761507
2015-05-05,-0.01326704,-0.04051572,-0.04051572
2015-05-06,-0.027731061,-0.067123234,-0.067123234
2015-05-07,0.009075284,-0.05865711,-0.05865711
2015-05-08,0.022483945,-0.037492037,-0.037492037
2015-05-11,-0.007958114,-0.04515177,-0.04515177
2015-05-12,-0.0004222393,-0.045554936,-0.045554936
2015-05-13,0.005913496,-0.039910853,-0.039910853
2015-05-14,0.022884727,-0.017939448,-0.017939448
2015-05-15,-0.008620739,-0.026405513,-0.026405513
2015-05-18,-0.0060041547,-0.03225112,-0.03225112
2015-05-19,-0.008956373,-0.04091865,-0.04091865
2015-05-20,0.0,-0.04091865,-0.04091865
2015-05-21,-0.0033628345,-0.044143856,-0.044143856
2015-05-22,-0.0109657645,-0.05462557,-0.05462557
2015-05-26,-0.006609857,-0.060874343,-0.060874343
2015-05-27,0.021893144,-0.04031396,-0.04031396
2015-05-28,-0.003360629,-0.043539107,-0.043539107
2015-05-29,-0.012434125,-0.055431843,-0.055431843
2015-06-01,0.007895827,-0.047973692,-0.047973692
2015-06-02,-0.0065636635,-0.054222465,-0.054222465
2015-06-03,-0.0014919043,-0.055633485,-0.055633485
2015-06-04,-0.010458887,-0.06551051,-0.06551051
2015-06-05,-0.0047454834,-0.0699451,-0.0699451
2015-06-08,-0.00888598,-0.07820952,-0.07820952
2015-06-09,-0.0017493367,-0.07982206,-0.07982206
2015-06-10,0.021029592,-0.060471117,-0.060471117
2015-06-11,-0.0036473274,-0.06389791,-0.06389791
2015-06-12,-0.010120511,-0.07337177,-0.07337177
2015-06-15,-0.010659158,-0.08324885,-0.08324885
2015-06-16,0.007695794,-0.07619375,-0.07619375
2015-06-17,0.003054738,-0.07337177,-0.07337177
2015-06-18,0.016314983,-0.058253825,-0.058253825
2015-06-19,-0.0132706165,-0.07075137,-0.07075137
2015-06-22,0.002820015,-0.06813085,-0.06813085
2015-06-23,-0.0069218874,-0.074581146,-0.074581146
2015-06-24,-0.005881071,-0.08002359,-0.08002359
2015-06-25,0.00021910667,-0.079822004,-0.079822004
2015-06-26,-0.008543313,-0.08768338,-0.08768338
2015-06-29,-0.019664168,-0.105623305,-0.105623305
2015-06-30,-0.004958272,-0.11005789,-0.11005789
2015-07-01,0.0067950487,-0.1040107,-0.1040107
2015-07-02,-0.0011248589,-0.105018556,-0.105018556
2015-07-06,-0.00022524595,-0.10522014,-0.10522014
2015-07-07,-0.0020275116,-0.107034326,-0.107034326
2015-07-08,-0.0013543367,-0.108243704,-0.108243704
2015-07-09,0.0063290596,-0.10259974,-0.10259974
2015-07-10,0.0020215511,-0.10078561,-0.10078561
